item,itemLabel,directorLabel,genreLabel,runtime,pubdate,sampledItemLabel
http://www.wikidata.org/entity/Q50803889,Paradox,Daryl Hannah,musical film,73,2018-01-01T00:00:00Z,Paradox
http://www.wikidata.org/entity/Q60562336,Root Cause,Frazer Bailey,documentary film,73,2018-01-01T00:00:00Z,Root Cause
http://www.wikidata.org/entity/Q61642225,The Seven Last Words,Sophie Deraspe,drama film,73,2019-01-24T00:00:00Z,The Seven Last Words
http://www.wikidata.org/entity/Q61764504,The Nagano Tapes,Ondřej Hudeček,documentary film,73,2018-02-28T00:00:00Z,The Nagano Tapes
http://www.wikidata.org/entity/Q104876134,Burkinabè Rising,Iara Lee,documentary film,72,2018-01-01T00:00:00Z,Burkinabè Rising
http://www.wikidata.org/entity/Q104877777,Searching-4 Tabernero,Eduardo Montes-Bradley,documentary film,72,2020-11-26T00:00:00Z,Searching-4 Tabernero
http://www.wikidata.org/entity/Q104013554,Death to 2020,Al Campbell,comedy film,70,2020-12-27T00:00:00Z,Death to 2020
http://www.wikidata.org/entity/Q27703217,6 Balloons,Marja-Lewis Ryan,drama film,74,2018-03-01T00:00:00Z,6 Balloons
http://www.wikidata.org/entity/Q61786993,Very Senior - Attitude is everything,Susan Gluth,documentary film,74,2018-11-15T00:00:00Z,Very Senior - Attitude is everything
http://www.wikidata.org/entity/Q63838597,Pass Over,Spike Lee,drama film,74,2018-04-20T00:00:00Z,Pass Over
http://www.wikidata.org/entity/Q65552654,ReMastered: The Two Killings of Sam Cooke,Kelly Duane,documentary film,74,2019-01-01T00:00:00Z,ReMastered: The Two Killings of Sam Cooke
http://www.wikidata.org/entity/Q98636427,Fonotune: An Electric Fairytale,FINT,fiction film,74,2018-10-10T00:00:00Z,Fonotune: An Electric Fairytale
http://www.wikidata.org/entity/Q98767248,10 Things We Should Do Before We Break Up,Galt Niederhoffer,romance film,74,2020-02-10T00:00:00Z,10 Things We Should Do Before We Break Up
http://www.wikidata.org/entity/Q116784012,Surviving Sex Trafficking,Sadhvi Siddhali Shree,documentary film,70,2021-09-23T00:00:00Z,Surviving Sex Trafficking
http://www.wikidata.org/entity/Q113952565,Jerry Lee Lewis: Trouble in Mind,Ethan Coen,documentary film,74,2022-01-01T00:00:00Z,Jerry Lee Lewis: Trouble in Mind
http://www.wikidata.org/entity/Q116775728,Necro-Mancing Dennis,Steven Vasquez,drama film,74,2018-10-31T00:00:00Z,Necro-Mancing Dennis
http://www.wikidata.org/entity/Q42916073,Scooby-Doo! & Batman: The Brave and the Bold,Jake Castorena,fictional character,75,2018-01-06T00:00:00Z,Scooby-Doo! & Batman: The Brave and the Bold
http://www.wikidata.org/entity/Q121091491,Choose Love,Stuart McDonald,romantic comedy,77,2023-01-01T00:00:00Z,Choose Love
http://www.wikidata.org/entity/Q44268586,Daphne & Velma,Suzi Yoonessi,comedy film,75,2018-04-29T00:00:00Z,Daphne & Velma
http://www.wikidata.org/entity/Q61642149,Pet Names,Carol Brandt,drama film,75,2018-03-10T00:00:00Z,Pet Names
http://www.wikidata.org/entity/Q73013172,Winterland,Jon Klaczkiewicz,documentary film,75,2019-12-05T00:00:00Z,Winterland
http://www.wikidata.org/entity/Q77399949,Amityville: Mt. Misery Rd.,Chuck Morrongiello,horror film,75,2018-01-01T00:00:00Z,Amityville: Mt. Misery Rd.
http://www.wikidata.org/entity/Q98708513,Stars in the Sky: A Hunting Story,Steven Rinella,documentary film,75,2018-01-01T00:00:00Z,Stars in the Sky: A Hunting Story
http://www.wikidata.org/entity/Q51808736,"Hale County This Morning, This Evening",Laura Poitras,documentary film,76,2018-01-19T00:00:00Z,"Hale County This Morning, This Evening"
http://www.wikidata.org/entity/Q61642200,Looking for Life,Sam Ellison,documentary film,76,2019-12-31T00:00:00Z,Looking for Life
http://www.wikidata.org/entity/Q61786663,This Mountain Life,Grant Baldwin,documentary film,76,2019-03-28T00:00:00Z,This Mountain Life
http://www.wikidata.org/entity/Q63133620,Penguins,Alastair Fothergill,documentary film,76,2019-01-01T00:00:00Z,Penguins
http://www.wikidata.org/entity/Q66809629,"Barstow, California",Rainer Komers,documentary film,76,2018-01-01T00:00:00Z,"Barstow, California"
http://www.wikidata.org/entity/Q28925870,Happy Anniversary,Jared Stern,comedy film,78,2018-01-01T00:00:00Z,Happy Anniversary
http://www.wikidata.org/entity/Q51749250,Do You Trust This Computer?,Chris Paine,documentary film,78,2018-04-05T00:00:00Z,Do You Trust This Computer?
